Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Cycling,2023-08-07 06:42:16,false,"Manor Cycling","40.16","1,621","02:36:05","142","177","15.4","33.4","1,847","1,844","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","82.4","No","00:00:42.4","9","95.0","02:34:40","02:52:12","-32","702"
Cycling,2023-08-04 06:41:03,false,"Manor Cycling","31.09","1,278","01:56:45","142","174","16.0","35.7","1,709","1,804","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","82.4","No","00:04:20.7","7","93.2","01:55:54","02:22:52","291","653"
Cycling,2023-08-02 06:40:08,false,"Manor Cycling","32.52","1,172","02:14:30","132","173","14.5","31.1","1,358","1,322","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","77.0","No","00:10:51","7","93.2","02:13:52","02:28:30","398","628"
Cycling,2023-08-01 06:50:35,false,"Manor Cycling","30.04","1,269","02:00:53","145","179","14.9","31.3","1,348","1,430","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","80.6","No","00:00:19.7","7","91.4","02:00:17","02:08:30","375","630"
Cycling,2023-05-17 17:47:07,false,"Manor Cycling","18.45","625","01:58:58","104","136","9.3","27.1","679","741","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","84.2","No","00:22:31","4","95.0","01:57:40","02:14:59","341","617"
Cycling,2023-01-16 17:48:40,false,"Manor Cycling","5.93","226","00:20:48","134","158","17.1","22.4","112","112","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","75.2","No","00:03:43.2","2","82.4","00:20:41","00:20:48","511","536"
Cycling,2022-10-23 07:36:34,false,"Austin Cycling","63.73","2,375","03:56:12","145","178","16.2","32.3","2,740","2,910","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","69.8","No","00:12:39","13","84.2","03:54:51","04:32:17","177","866"
Cycling,2022-10-14 09:24:05,false,"Manor Cycling","45.33","1,711","02:44:19","146","176","16.6","32.0","2,438","2,333","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","77.0","No","00:01:10.0","10","91.4","02:43:16","03:00:40","401","749"
Cycling,2022-10-09 09:52:53,false,"Manor Cycling","37.14","1,593","02:20:29","149","173","15.9","30.4","1,975","1,870","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","77.0","No","00:08:58.9","8","89.6","02:19:22","02:31:36","468","747"
Cycling,2022-10-05 19:13:18,false,"Manor Cycling","10.60","422","00:34:56","143","169","18.2","22.4","351","394","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","82.4","No","00:01:57.6","3","84.2","00:34:50","00:34:56","475","558"
